iter	Passed	Remaining
0	0	67
1	1	60
2	1	56
3	2	51
4	2	53
5	3	53
6	4	54
7	4	54
8	5	53
9	5	53
10	6	52
11	7	52
12	7	51
13	8	51
14	8	50
15	9	50
16	10	49
17	10	49
18	11	49
19	12	48
20	12	47
21	13	47
22	13	46
23	14	46
24	15	46
25	16	45
26	16	45
27	17	44
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	27
53	32	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	35	22
62	36	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
