iter	Passed	Remaining
0	147	147625
1	149	74351
2	149	49811
3	150	37513
4	151	30143
5	152	25211
6	152	21686
7	153	19045
8	154	16996
9	154	15344
10	155	13996
11	156	12871
12	157	11920
13	157	11108
14	158	10405
15	159	9789
16	160	9274
17	161	8823
18	162	8395
19	163	8014
20	164	7663
21	165	7344
22	165	7049
23	166	6779
24	167	6530
25	168	6300
26	168	6084
27	169	5885
28	170	5700
29	171	5532
30	172	5377
31	172	5230
32	173	5089
33	174	4964
34	175	4844
35	176	4732
36	177	4622
37	178	4515
38	179	4416
39	180	4321
40	180	4230
41	181	4142
42	182	4061
43	183	3982
44	184	3905
45	184	3832
46	185	3763
47	186	3695
48	187	3633
49	188	3572
50	189	3521
51	190	3466
52	191	3412
53	191	3360
54	192	3310
55	193	3262
56	194	3215
57	195	3170
58	196	3126
59	196	3084
60	197	3042
61	198	3002
62	199	2964
63	200	2928
64	201	2892
65	201	2857
66	202	2824
67	203	2792
68	204	2764
69	205	2733
70	206	2704
71	207	2675
72	208	2646
73	209	2618
74	210	2591
75	211	2565
76	211	2540
77	212	2514
78	213	2490
79	214	2466
80	215	2442
81	216	2420
82	216	2393
83	217	2371
84	218	2352
85	219	2333
86	220	2315
87	221	2296
88	222	2276
89	223	2258
90	224	2238
91	225	2221
92	225	2203
93	226	2186
94	227	2168
95	228	2151
96	229	2133
97	230	2117
98	230	2101
99	231	2085
100	232	2071
101	233	2058
102	234	2043
103	235	2030
104	236	2015
105	237	2003
106	238	1990
107	239	1976
108	240	1964
109	241	1951
110	242	1939
111	242	1926
112	243	1913
113	244	1901
114	245	1888
115	246	1876
116	246	1863
117	247	1853
118	249	1845
119	250	1836
120	251	1829
121	252	1818
122	253	1808
123	254	1798
124	255	1787
125	256	1777
126	256	1765
127	257	1756
128	258	1746
129	259	1737
130	260	1727
131	261	1718
132	262	1708
133	263	1700
134	264	1692
135	265	1684
136	266	1676
137	267	1668
138	267	1659
139	268	1651
140	269	1643
141	270	1633
142	271	1625
143	272	1617
144	273	1610
145	273	1602
146	274	1595
147	275	1587
148	276	1579
149	277	1572
150	278	1566
151	279	1560
152	280	1554
153	281	1547
154	282	1540
155	283	1533
156	284	1526
157	285	1519
158	285	1512
159	286	1505
160	287	1497
161	288	1490
162	289	1484
163	289	1477
164	290	1471
165	291	1465
166	292	1459
167	293	1454
168	294	1450
169	295	1444
170	296	1439
171	297	1432
172	298	1427
173	299	1421
174	300	1415
175	301	1409
176	301	1404
177	302	1398
178	303	1393
179	304	1387
180	305	1382
181	306	1377
182	307	1371
183	308	1368
184	309	1363
185	310	1358
186	311	1353
187	312	1348
188	313	1343
189	313	1338
190	314	1333
191	315	1328
192	316	1323
193	317	1317
194	318	1312
195	318	1308
196	319	1303
197	320	1298
198	321	1293
199	322	1288
200	323	1284
201	324	1280
202	325	1277
203	326	1272
204	327	1268
205	327	1263
206	328	1259
207	329	1254
208	330	1249
209	331	1245
210	331	1240
211	332	1236
212	333	1231
